query_idx,phase,user_id,user_profile,question,category,difficulty,source,compute,score,cache_hit,ensemble_size
20,Холодный старт,0,active,"Расскажите подробнее, что такое анемия подскажите?",Микронутриенты и витамины,medium,user,5.62,99,False,5
21,Холодный старт,0,active,Интересует такой вопрос: какие органы участвуют в пищеварени,Основы нутрициологии,easy,user,2.8,99,False,5
22,Холодный старт,0,active,Вопрос по теме «Диеты и режимы» #13,Диеты и режимы,hard,expert,8.19,95.7,False,5
23,Холодный старт,0,active,"Подскажите, вопрос по теме «Макронутриенты» #17? А то я запу",Макронутриенты,easy,user,2.78,99,False,5
24,Холодный старт,0,active,"Дайте совет, вопрос по теме «Спортивное питание» #19?",Спортивное питание,medium,user,4.62,99,False,5
25,Холодный старт,0,active,У меня такой вопрос: вопрос по теме «Микронутриенты и витами,Микронутриенты и витамины,medium,user,5.53,99,False,5
26,Холодный старт,0,active,"В интернете пишут, что такое целиакия?",Заболевания и питание,easy,user,3.86,99,False,5
27,Холодный старт,0,active,"Хотелось бы узнать, вопрос по теме «БАДы и добавки» #20 инте",БАДы и добавки,easy,user,3.57,99,False,5
28,Холодный старт,0,active,Вопрос по теме «БАДы и добавки» #20,БАДы и добавки,easy,expert,3.56,99,False,5
29,Холодный старт,0,active,"Никак не могу понять, вопрос по теме «БАДы и добавки» #20 — ",БАДы и добавки,easy,user,3.55,99,False,5
30,Холодный старт,0,active,У меня такой вопрос: что такое пищевая плотность подскажите?,Основы нутрициологии,medium,user,4.54,97.9,False,5
31,Холодный старт,0,active,"Дайте совет, как питаться после тренировки?",Спортивное питание,easy,user,2.71,99,False,5
32,Холодный старт,0,active,Интересует такой вопрос: какие продукты богаты белком что по,Макронутриенты,medium,user,4.5,99,False,5
33,Холодный старт,0,active,Вопрос по теме «Общие вопросы» #18,Общие вопросы,easy,expert,2.16,97.9,False,5
34,Холодный старт,0,active,Вопрос по теме «Макронутриенты» #17,Макронутриенты,easy,expert,2.69,99,False,5
35,Холодный старт,0,active,"Верно ли, что вопрос по теме «БАДы и добавки» #17 — это норм",БАДы и добавки,easy,user,3.48,99,False,5
36,Холодный старт,0,active,"Хотелось бы узнать, вопрос по теме «БАДы и добавки» #20 инте",БАДы и добавки,easy,user,3.47,99,False,5
37,Холодный старт,0,active,Что такое пищевые волокна?,Макронутриенты,medium,expert,4.43,99,False,5
38,Холодный старт,0,active,Что такое КБЖУ? А то я запутался?,Основы нутрициологии,easy,user,2.65,99,False,5
39,Холодный старт,0,active,"А правда, что вопрос по теме «Макронутриенты» #18?",Макронутриенты,medium,user,4.4,97.7,False,5
40,Холодный старт,0,active,"А вот интересно, вопрос по теме «Диеты и режимы» #12?)",Диеты и режимы,easy,user,2.89,99,False,5
41,Холодный старт,0,active,Вопрос по теме «Диеты и режимы» #14,Диеты и режимы,easy,expert,2.88,99,False,5
42,Холодный старт,0,active,Вопрос по теме «Общие вопросы» #18,Общие вопросы,easy,expert,2.09,99,False,5
43,Холодный старт,0,active,Что такое органическая еда?,Общие вопросы,easy,expert,2.08,99,False,5
44,Холодный старт,0,active,"А правда, что вопрос по теме «Основы нутрициологии» #18?",Основы нутрициологии,easy,user,2.59,99,False,5
45,Холодный старт,0,active,У меня такой вопрос: что такое глюконеогенез — это нормально,Макронутриенты,easy,user,2.59,99,False,5
46,Холодный старт,0,active,Какие БАДы опасны в передозировке?,БАДы и добавки,easy,expert,3.35,99,False,5
47,Холодный старт,0,active,"Я слышал, что что такое электролиты?",Спортивное питание,easy,user,2.57,99,False,5
48,Холодный старт,0,active,Чем отличается веганство от вегетарианства?,Диеты и режимы,easy,expert,2.81,99,False,5
49,Холодный старт,0,active,Вопрос по теме «Основы нутрициологии» #19,Основы нутрициологии,medium,expert,4.25,99,False,5
50,Холодный старт,0,active,"Можете рассказать, что такое IG-диета что посоветуете?",Диеты и режимы,easy,user,2.8,99,False,5
51,Холодный старт,0,active,Непонятно вот что: чем пробиотики отличаются от пребиотиков?,БАДы и добавки,easy,user,3.31,99,False,5
52,Холодный старт,0,active,"Посоветуйте, что такое НАЖБП?",Заболевания и питание,easy,user,3.57,99,False,5
53,Холодный старт,0,active,"Посоветуйте, какие органы участвуют в пищеварении — как дума",Основы нутрициологии,easy,user,2.55,99,False,5
54,Холодный старт,0,active,"Объясните, вопрос по теме «Спортивное питание» #20? А то я з",Спортивное питание,easy,user,2.55,99,False,5
55,Холодный старт,0,active,"Проконсультируйте, вопрос по теме «Спортивное питание» #12 —",Спортивное питание,medium,user,4.25,99,False,5
56,Холодный старт,0,active,"А правда, что вопрос по теме «Заболевания и питание» #16 инт",Заболевания и питание,easy,user,3.57,99,False,5
57,Холодный старт,0,active,"Я слышал, что что такое пищевые волокна подскажите?",Макронутриенты,easy,user,2.55,99,False,5
58,Холодный старт,0,active,"Никак не могу понять, вопрос по теме «Диеты и режимы» #14 — ",Диеты и режимы,medium,user,4.67,99,False,5
59,Холодный старт,0,active,"А вот интересно, что такое пищевая плотность подскажите?",Основы нутрициологии,easy,user,2.55,99,False,5
60,Холодный старт,0,active,"Скажите, вопрос по теме «Заболевания и питание» #17?)",Заболевания и питание,easy,user,3.57,99,False,5
61,Холодный старт,0,active,"Хотелось бы узнать, вопрос по теме «БАДы и добавки» #14 инте",БАДы и добавки,easy,user,3.31,99,False,5
62,Холодный старт,0,active,"Подскажите пожалуйста, что такое средиземноморская диета?",Диеты и режимы,medium,user,4.67,99,False,5
63,Холодный старт,0,active,"Объясните, сколько воды нужно пить в день — это нормально?",Общие вопросы,medium,user,3.4,95.6,False,5
64,Холодный старт,0,active,Вопрос по теме «Основы нутрициологии» #17 интересно узнать?,Основы нутрициологии,easy,user,2.55,99,False,5
65,Холодный старт,0,active,Что такое целиакия?,Заболевания и питание,medium,expert,5.95,99,False,5
66,Холодный старт,0,active,Вопрос по теме «Заболевания и питание» #16,Заболевания и питание,hard,expert,9.52,99,False,5
67,Холодный старт,0,active,Сколько калорий в 1 г белка?,Макронутриенты,medium,expert,4.25,99,False,5
68,Холодный старт,0,active,Вопрос по теме «Микронутриенты и витамины» #20,Микронутриенты и витамины,medium,expert,5.1,99,False,5
69,Холодный старт,0,active,"Дайте совет, что такое подагра?",Заболевания и питание,medium,user,5.95,99,False,5
70,Холодный старт,0,active,"Я слышал, что вопрос по теме «Общие вопросы» #18?)",Общие вопросы,medium,user,3.4,91.5,False,5
71,Холодный старт,0,active,"Проконсультируйте, что такое омега-3 добавки?",БАДы и добавки,easy,user,3.31,99,False,5
72,Холодный старт,0,active,"Посоветуйте, вопрос по теме «Спортивное питание» #19 что пос",Спортивное питание,medium,user,4.25,99,False,5
73,Холодный старт,0,active,Интересует такой вопрос: что такое антиоксиданты что посовет,Основы нутрициологии,easy,user,2.55,99,False,5
74,Холодный старт,0,active,Сколько калорий в 1 г углеводов?,Макронутриенты,hard,expert,6.8,89.9,False,5
75,Холодный старт,0,active,"Подскажите, какие функции выполняет печень в метаболизме под",Основы нутрициологии,easy,user,2.55,99,False,5
76,Холодный старт,0,active,"Дайте совет, вопрос по теме «Общие вопросы» #15?",Общие вопросы,easy,user,2.04,98.7,False,5
77,Холодный старт,0,active,"Хотелось бы узнать, как питаться после тренировки — это норм",Спортивное питание,easy,user,2.55,99,False,5
78,Холодный старт,0,active,"В интернете пишут, какие витамины относятся к водорастворимы",Микронутриенты и витамины,medium,user,5.1,99,False,5
79,Холодный старт,0,active,"Дайте совет, влияет ли цинк на иммунитет? А то я запутался?",БАДы и добавки,easy,user,3.31,99,False,5
80,Холодный старт,0,active,"Подскажите, что такое энергетический баланс подскажите?",Основы нутрициологии,medium,user,4.25,98.8,False,5
81,Холодный старт,0,active,У меня такой вопрос: какие витамины относятся к жирораствори,Микронутриенты и витамины,medium,user,5.1,99,False,5
82,Холодный старт,0,active,Какой хлеб полезнее? А то я запутался?,Общие вопросы,easy,user,2.04,98.2,False,5
83,Холодный старт,0,active,"Хотелось бы узнать, вопрос по теме «БАДы и добавки» #20 инте",БАДы и добавки,easy,user,3.31,99,False,5
84,Холодный старт,0,active,"Подскажите, вопрос по теме «Заболевания и питание» #20?",Заболевания и питание,easy,user,3.57,99,False,5
85,Холодный старт,0,active,Что такое органическая еда подскажите?,Общие вопросы,medium,user,3.4,95.1,False,5
86,Холодный старт,0,active,Вопрос по теме «Основы нутрициологии» #17,Основы нутрициологии,hard,expert,6.8,90.3,False,5
87,Холодный старт,0,active,Что такое суперфуды?,Общие вопросы,easy,expert,2.04,99,False,5
88,Холодный старт,0,active,"Дайте совет, что такое НАЖБП что посоветуете?",Заболевания и питание,medium,user,5.95,99,False,5
89,Холодный старт,0,active,"Скажите, вопрос по теме «Спортивное питание» #18 — как думае",Спортивное питание,medium,user,4.25,99,False,5
90,Холодный старт,0,active,Что такое НАЖБП?,Заболевания и питание,medium,expert,5.95,99,False,5
91,Холодный старт,0,active,"Дайте совет, что такое подагра?",Заболевания и питание,medium,user,5.95,99,False,5
92,Холодный старт,0,active,Вопрос по теме «Общие вопросы» #15,Общие вопросы,hard,expert,5.44,84.4,False,5
93,Холодный старт,0,active,"Дайте совет, чем пробиотики отличаются от пребиотиков?",БАДы и добавки,easy,user,3.31,99,False,5
94,Холодный старт,0,active,"Скажите, какие продукты богаты клетчаткой подскажите?",Макронутриенты,easy,user,2.55,99,False,5
95,Холодный старт,0,active,"Хотелось бы узнать, что такое пищевые волокна интересно узна",Макронутриенты,medium,user,4.25,98.2,False,5
96,Холодный старт,0,active,"А вот интересно, вопрос по теме «БАДы и добавки» #14 — это н",БАДы и добавки,medium,user,5.52,99,False,5
97,Холодный старт,0,active,"Хотелось бы узнать, какова норма углеводов в сутки это правд",Макронутриенты,medium,user,4.25,99,False,5
98,Холодный старт,0,active,"Никак не могу понять, вопрос по теме «Микронутриенты и витам",Микронутриенты и витамины,medium,user,5.1,99,False,5
99,Холодный старт,0,active,"Проконсультируйте, вопрос по теме «Диеты и режимы» #18 это п",Диеты и режимы,medium,user,4.67,99,False,5
100,Холодный старт,0,active,"Подскажите пожалуйста, вопрос по теме «Диеты и режимы» #15 и",Диеты и режимы,easy,user,2.8,99,False,5
101,Холодный старт,0,active,"Подскажите, вопрос по теме «Заболевания и питание» #20?",Заболевания и питание,easy,user,3.57,99,False,5
102,Холодный старт,0,active,"А правда, что что такое антиоксиданты что посоветуете?",Основы нутрициологии,easy,user,2.55,99,False,5
103,Холодный старт,0,active,"В интернете пишут, вопрос по теме «Макронутриенты» #20 интер",Макронутриенты,easy,user,2.55,99,False,5
104,Холодный старт,0,active,Непонятно вот что: что такое палеодиета?,Диеты и режимы,medium,user,4.67,99,False,5
105,Холодный старт,0,active,Что такое food combining?,Общие вопросы,hard,expert,5.44,84.6,False,5
106,Холодный старт,0,active,Непонятно вот что: какие продукты полезны при гипертонии? А ,Заболевания и питание,medium,user,5.95,99,False,5
107,Холодный старт,0,active,"Можете рассказать, вопрос по теме «Макронутриенты» #20? А то",Макронутриенты,easy,user,2.55,99,False,5
108,Холодный старт,0,active,Интересует такой вопрос: что такое гликемический индекс подс,Основы нутрициологии,medium,user,4.25,99,False,5
109,Холодный старт,0,active,"Никак не могу понять, вопрос по теме «Диеты и режимы» #20?",Диеты и режимы,easy,user,2.8,99,False,5
110,Холодный старт,0,active,Вопрос по теме «Основы нутрициологии» #16,Основы нутрициологии,hard,expert,6.8,92.6,False,5
111,Холодный старт,0,active,"Можете рассказать, что такое элиминационная диета?)",Диеты и режимы,medium,user,4.67,99,False,5
112,Холодный старт,0,active,"Можете рассказать, что такое BCAA что посоветуете?",Спортивное питание,medium,user,4.25,98.6,False,5
113,Холодный старт,0,active,Сколько калорий в 1 г белка подскажите?,Макронутриенты,easy,user,2.55,99,False,5
114,Холодный старт,0,active,"А правда, что вопрос по теме «Макронутриенты» #18?",Макронутриенты,medium,user,4.25,99,False,5
115,Холодный старт,0,active,Непонятно вот что: какие бывают типы жирных кислот что посов,Макронутриенты,easy,user,2.55,99,False,5
116,Холодный старт,0,active,"А вот интересно, для чего нужен кальций что посоветуете?",Микронутриенты и витамины,medium,user,5.1,99,False,5
117,Холодный старт,0,active,"Я слышал, что как питание влияет на микробиом подскажите?",Заболевания и питание,medium,user,5.95,99,False,5
118,Холодный старт,0,active,"Расскажите подробнее, как питаться после тренировки — это но",Спортивное питание,medium,user,4.25,99,False,5
119,Холодный старт,0,active,"Я слышал, что что такое электролиты?",Спортивное питание,easy,user,2.55,99,False,5
120,Холодный старт,0,active,Какая связь между питанием и онкологией?,Заболевания и питание,easy,expert,3.57,99,False,5
121,Холодный старт,0,active,"Я слышал, что вопрос по теме «Микронутриенты и витамины» #19",Микронутриенты и витамины,easy,user,3.06,99,False,5
122,Холодный старт,0,active,"Посоветуйте, что такое целиакия?)",Заболевания и питание,easy,user,3.57,99,False,5
123,Холодный старт,0,active,"Дайте совет, что такое Омега-3?",Макронутриенты,medium,user,4.25,98.8,False,5
124,Холодный старт,0,active,"Никак не могу понять, что такое средиземноморская диета — эт",Диеты и режимы,medium,user,4.67,99,False,5
125,Холодный старт,0,active,"А вот интересно, вопрос по теме «БАДы и добавки» #14 — это н",БАДы и добавки,medium,user,5.52,99,False,5
126,Холодный старт,0,active,Какие основные нутриенты необходимы человеку?,Основы нутрициологии,hard,expert,6.8,94.1,False,5
127,Холодный старт,0,active,"Можете рассказать, вопрос по теме «Диеты и режимы» #15?",Диеты и режимы,easy,user,2.8,99,False,5
128,Холодный старт,0,active,"Дайте совет, что такое пробиотики?",БАДы и добавки,easy,user,3.31,99,False,5
129,Холодный старт,0,active,"Никак не могу понять, вопрос по теме «Диеты и режимы» #14 — ",Диеты и режимы,medium,user,4.67,99,False,5
130,Холодный старт,0,active,Непонятно вот что: вопрос по теме «Общие вопросы» #14 подска,Общие вопросы,medium,user,3.4,92.9,False,5
131,Холодный старт,0,active,Какие продукты богаты железом?,Микронутриенты и витамины,medium,expert,5.1,99,False,5
132,Холодный старт,0,active,"Посоветуйте, что такое гейнер?)",Спортивное питание,easy,user,2.55,99,False,5
133,Холодный старт,0,active,Сколько калорий в 1 г белка подскажите?,Макронутриенты,easy,user,2.55,99,False,5
134,Холодный старт,0,active,Вопрос по теме «Спортивное питание» #20,Спортивное питание,hard,expert,6.8,91.0,False,5
135,Холодный старт,0,active,"Проконсультируйте, как питание влияет на микробиом?",Заболевания и питание,easy,user,3.57,99,False,5
136,Холодный старт,0,active,"В интернете пишут, зачем принимать магний — это нормально?",БАДы и добавки,medium,user,5.52,99,False,5
137,Холодный старт,0,active,"А вот интересно, какова норма жиров в сутки?",Макронутриенты,medium,user,4.25,98.2,False,5
138,Холодный старт,0,active,"Дайте совет, какие продукты богаты витамином C — это нормаль",Микронутриенты и витамины,medium,user,5.1,99,False,5
139,Холодный старт,0,active,"Скажите, как правильно составить сбалансированное меню?",Диеты и режимы,medium,user,4.67,99,False,5
140,Холодный старт,0,active,Сколько белка нужно спортсмену?,Спортивное питание,hard,expert,6.8,91.3,False,5
141,Холодный старт,0,active,"Посоветуйте, что такое адаптогены — это нормально?",БАДы и добавки,medium,user,5.52,99,False,5
142,Холодный старт,0,active,Интересует такой вопрос: вопрос по теме «БАДы и добавки» #20,БАДы и добавки,easy,user,3.31,99,False,5
143,Холодный старт,0,active,Вопрос по теме «Заболевания и питание» #19,Заболевания и питание,medium,expert,5.95,99,False,5
144,Холодный старт,0,active,Как питаться до тренировки?,Спортивное питание,medium,expert,4.25,97.7,False,5
145,Холодный старт,0,active,Непонятно вот что: вопрос по теме «Диеты и режимы» #19 что п,Диеты и режимы,easy,user,2.8,99,False,5
146,Холодный старт,0,active,"Можете рассказать, что такое IG-диета что посоветуете?",Диеты и режимы,easy,user,2.8,99,False,5
147,Холодный старт,0,active,"Подскажите, вопрос по теме «Заболевания и питание» #20?",Заболевания и питание,easy,user,3.57,99,False,5
148,Холодный старт,0,active,"А правда, что вопрос по теме «Диеты и режимы» #17?)",Диеты и режимы,easy,user,2.8,99,False,5
149,Холодный старт,0,active,"Подскажите пожалуйста, что такое средиземноморская диета?",Диеты и режимы,medium,user,4.67,99,False,5
150,Холодный старт,0,active,"А вот интересно, что такое сахарный диабет 2 типа? А то я за",Заболевания и питание,easy,user,3.57,99,False,5
151,Холодный старт,0,active,"Подскажите, что такое креатин? А то я запутался?",Спортивное питание,medium,user,4.25,97.7,False,5
152,Холодный старт,0,active,У меня такой вопрос: какова норма углеводов в сутки?,Макронутриенты,medium,user,4.25,97.7,False,5
153,Холодный старт,0,active,У меня такой вопрос: что такое свободные радикалы — как дума,Основы нутрициологии,medium,user,4.25,98.0,False,5
154,Холодный старт,0,active,Непонятно вот что: что такое элиминационная диета что посове,Диеты и режимы,easy,user,2.8,99,False,5
155,Холодный старт,0,active,"Посоветуйте, вопрос по теме «Заболевания и питание» #16?",Заболевания и питание,medium,user,5.95,99,False,5
156,Холодный старт,0,active,Непонятно вот что: что такое дефицит B12 интересно узнать?,Микронутриенты и витамины,easy,user,3.06,99,False,5
157,Холодный старт,0,active,У меня такой вопрос: как питание влияет на сердечно-сосудист,Заболевания и питание,medium,user,5.95,99,False,5
158,Холодный старт,0,active,"Верно ли, что что такое антиоксиданты — это нормально?",Основы нутрициологии,easy,user,2.55,99,False,5
159,Холодный старт,0,active,Интересует такой вопрос: вопрос по теме «БАДы и добавки» #16,БАДы и добавки,easy,user,3.31,99,False,5
160,Холодный старт,0,active,Вопрос по теме «Общие вопросы» #20?,Общие вопросы,medium,user,3.4,92.5,False,5
161,Холодный старт,0,active,Вопрос по теме «Диеты и режимы» #14,Диеты и режимы,hard,expert,7.48,95.6,False,5
162,Холодный старт,0,active,Вопрос по теме «Диеты и режимы» #13,Диеты и режимы,medium,expert,4.67,99,False,5
163,Холодный старт,0,active,"Проконсультируйте, как питаться после тренировки?",Спортивное питание,medium,user,4.25,99,False,5
164,Холодный старт,0,active,"Можете рассказать, вопрос по теме «Общие вопросы» #14?",Общие вопросы,medium,user,3.4,92.6,False,5
165,Холодный старт,0,active,"Подскажите, вопрос по теме «Диеты и режимы» #19 — это нормал",Диеты и режимы,medium,user,4.67,99,False,5
166,Холодный старт,0,active,Непонятно вот что: какие продукты полезны при гипертонии? А ,Заболевания и питание,medium,user,5.95,99,False,5
167,Холодный старт,0,active,Какова норма углеводов в сутки?,Макронутриенты,hard,expert,6.8,90.2,False,5
168,Холодный старт,0,active,"Я слышал, что вопрос по теме «Общие вопросы» #19 интересно у",Общие вопросы,medium,user,3.4,92.7,False,5
169,Холодный старт,0,active,"Скажите, что такое насыщенные жиры что посоветуете?",Макронутриенты,easy,user,2.55,99,False,5
170,Холодный старт,0,active,"Объясните, чем пробиотики отличаются от пребиотиков? А то я ",БАДы и добавки,medium,user,5.52,99,False,5
171,Холодный старт,0,active,"Верно ли, что вопрос по теме «Микронутриенты и витамины» #18",Микронутриенты и витамины,easy,user,3.06,99,False,5
172,Холодный старт,0,active,"Верно ли, что какие БАДы опасны в передозировке — это нормал",БАДы и добавки,easy,user,3.31,99,False,5
173,Холодный старт,0,active,"Верно ли, что вопрос по теме «БАДы и добавки» #17 — это норм",БАДы и добавки,easy,user,3.31,99,False,5
174,Холодный старт,0,active,"Посоветуйте, что такое метаболический синдром?",Заболевания и питание,easy,user,3.57,99,False,5
175,Холодный старт,0,active,"В интернете пишут, вопрос по теме «Общие вопросы» #17?",Общие вопросы,easy,user,2.04,98.7,False,5
176,Холодный старт,0,active,Вопрос по теме «Спортивное питание» #17,Спортивное питание,easy,expert,2.55,99,False,5
177,Холодный старт,0,active,"А вот интересно, вопрос по теме «БАДы и добавки» #14 — это н",БАДы и добавки,medium,user,5.52,99,False,5
178,Холодный старт,0,active,Что такое L-карнитин?,Спортивное питание,medium,expert,4.25,99,False,5
179,Холодный старт,0,active,"В интернете пишут, какие органы участвуют в пищеварении инте",Основы нутрициологии,medium,user,4.25,97.9,False,5
180,Холодный старт,0,active,"Я слышал, что вопрос по теме «Общие вопросы» #18?)",Общие вопросы,medium,user,3.4,92.9,False,5
181,Холодный старт,0,active,"А вот интересно, какие продукты богаты клетчаткой?",Макронутриенты,easy,user,2.55,99,False,5
182,Холодный старт,0,active,"Расскажите подробнее, какие минералы являются макроэлементам",Микронутриенты и витамины,easy,user,3.06,99,False,5
183,Холодный старт,0,active,"Можете рассказать, вопрос по теме «Заболевания и питание» #2",Заболевания и питание,easy,user,3.57,99,False,5
184,Холодный старт,0,active,Какие функции выполняет печень в метаболизме это правда?,Основы нутрициологии,medium,user,4.25,99,False,5
185,Холодный старт,0,active,"Хотелось бы узнать, вопрос по теме «Заболевания и питание» #",Заболевания и питание,medium,user,5.95,99,False,5
186,Холодный старт,0,active,"Подскажите, вопрос по теме «Основы нутрициологии» #19?)",Основы нутрициологии,medium,user,4.25,97.7,False,5
187,Холодный старт,0,active,"Подскажите, сколько калорий в 1 г белка интересно узнать?",Макронутриенты,easy,user,2.55,99,False,5
188,Холодный старт,0,active,"Я слышал, что вопрос по теме «БАДы и добавки» #16?",БАДы и добавки,medium,user,5.52,99,False,5
189,Холодный старт,0,active,"Проконсультируйте, вопрос по теме «Заболевания и питание» #1",Заболевания и питание,medium,user,5.95,99,False,5
190,Холодный старт,0,active,"Объясните, вопрос по теме «Общие вопросы» #14 — как думаете?",Общие вопросы,medium,user,3.4,93.5,False,5
191,Холодный старт,0,active,"Дайте совет, сколько белка нужно спортсмену?",Спортивное питание,medium,user,4.25,99,False,5
192,Холодный старт,0,active,"Подскажите пожалуйста, что такое омега-3 добавки подскажите?",БАДы и добавки,easy,user,3.31,99,False,5
193,Холодный старт,0,active,"Расскажите подробнее, что такое креатин — это нормально?",Спортивное питание,easy,user,2.55,99,False,5
194,Холодный старт,0,active,"Я слышал, что что такое подагра?",Заболевания и питание,easy,user,3.57,99,False,5
195,Холодный старт,0,active,Что такое BCAA?),Спортивное питание,easy,user,2.55,99,False,5
196,Холодный старт,0,active,Как питание влияет на микробиом?,Заболевания и питание,easy,expert,3.57,99,False,5
197,Холодный старт,0,active,Вопрос по теме «Спортивное питание» #19,Спортивное питание,hard,expert,6.8,90.0,False,5
198,Холодный старт,0,active,"Посоветуйте, что такое гейнер?)",Спортивное питание,easy,user,2.55,99,False,5
199,Холодный старт,0,active,Что такое органическая еда?,Общие вопросы,easy,expert,2.04,98.3,False,5
200,Холодный старт,0,active,Непонятно вот что: что такое органическая еда — это нормальн,Общие вопросы,medium,user,3.4,94.5,False,5
201,Накопление кэша,0,active,Вопрос по теме «БАДы и добавки» #15,БАДы и добавки,medium,expert,5.16,99,False,4
202,Накопление кэша,0,active,"Можете рассказать, вопрос по теме «Диеты и режимы» #20 что п",Диеты и режимы,easy,user,1.96,99,False,3
203,Накопление кэша,0,active,Какие витамины относятся к водорастворимым?,Микронутриенты и витамины,easy,expert,2.14,99,False,3
204,Накопление кэша,0,active,Какие функции выполняет печень в метаболизме?,Основы нутрициологии,easy,expert,1.78,97.5,False,3
205,Накопление кэша,0,active,"Верно ли, что что такое суперфуды интересно узнать?",Общие вопросы,easy,user,1.43,93.7,False,3
206,Накопление кэша,0,active,Вопрос по теме «БАДы и добавки» #18,БАДы и добавки,easy,expert,3.09,99,False,4
207,Накопление кэша,0,active,Что такое средиземноморская диета?,Диеты и режимы,medium,expert,3.27,97.3,False,3
208,Накопление кэша,0,active,"Хотелось бы узнать, какие продукты полезны при гипертонии по",Заболевания и питание,medium,user,5.55,99,False,4
209,Накопление кэша,0,active,Вопрос по теме «Микронутриенты и витамины» #20,Микронутриенты и витамины,hard,expert,5.71,89.5,False,3
210,Накопление кэша,0,active,Вопрос по теме «Заболевания и питание» #19,Заболевания и питание,medium,expert,5.55,99,False,4
211,Накопление кэша,0,active,Интересует такой вопрос: вопрос по теме «БАДы и добавки» #17,БАДы и добавки,medium,user,5.16,99,False,4
212,Накопление кэша,0,active,"Скажите, вопрос по теме «Спортивное питание» #12 это правда?",Спортивное питание,easy,user,1.78,98.1,False,3
213,Накопление кэша,0,active,"Скажите, вопрос по теме «Заболевания и питание» #17?)",Заболевания и питание,easy,user,3.33,99,False,4
214,Накопление кэша,0,active,"Хотелось бы узнать, что такое инсулинорезистентность интерес",Заболевания и питание,easy,user,3.33,99,False,4
215,Накопление кэша,0,active,Что такое насыщенные жиры?,Макронутриенты,medium,expert,2.98,91.0,False,3
216,Накопление кэша,0,active,Вопрос по теме «Спортивное питание» #19,Спортивное питание,hard,expert,4.76,85.8,False,3
217,Накопление кэша,0,active,Что такое пищевые волокна?,Макронутриенты,medium,expert,2.98,92.6,False,3
218,Накопление кэша,0,active,"Объясните, чем пробиотики отличаются от пребиотиков? А то я ",БАДы и добавки,medium,user,5.16,99,False,4
219,Накопление кэша,0,active,Вопрос по теме «БАДы и добавки» #17,БАДы и добавки,hard,expert,8.25,94.8,False,4
220,Накопление кэша,0,active,"В интернете пишут, что такое IG-диета?",Диеты и режимы,easy,user,1.96,99,False,3
221,Накопление кэша,0,active,Вопрос по теме «Общие вопросы» #20?),Общие вопросы,medium,user,2.38,85.3,False,3
222,Накопление кэша,0,active,"Верно ли, что какие БАДы опасны в передозировке это правда?",БАДы и добавки,medium,user,5.16,99,False,4
